Name,Party,State,District,Year,Incumbent,Winner,Raised,Spent,Cash on Hand,Small Individual Contributions,Large Individual Contributions,PAC Contributions,Candidate self-financing,Other,Full Disclosure,Incomplete Disclosure,No Disclosure
Doug Jones,D,AL,S1,2020,True,False,30640635,32297767,474033,12840720,14632158,1943850,0,1223905,10457835,86483,3100
Tommy Tuberville,R,AL,S1,2020,False,True,8537218,8363739,173480,1531497,6168170,777079,50200,10273,6730679,126770,223223
Michael Parrish,I,AL,S1,2020,False,False,5116,2639,2441,116,0,0,5000,0,0,0,0
Jerry Carl,R,AL,01,2020,False,True,1971321,1859349,111973,44580,999616,387000,434656,105470,1295869,49475,12650
James Averhart,D,AL,01,2020,False,False,80095,78973,1122,12895,37955,0,29245,0,44427,0,24725
Barry Moore,R,AL,02,2020,False,True,650807,669368,-13633,62208,346329,230282,11500,489,445102,31235,9700
Phyllis Harvey-Hall,D,AL,02,2020,False,False,56050,55988,0,15307,27105,2032,10575,1030,1500,400,15463
Mike D Rogers,R,AL,03,2020,True,True,1193111,1218564,502234,5315,438054,744734,0,5009,436004,0,0
Adia Winfrey,D,AL,03,2020,False,False,50273,40971,43,36483,10430,108,700,2552,9930,500,0
Robert B Aderholt,R,AL,04,2020,True,True,1255076,1323812,647004,61459,479663,739300,0,-25346,453551,1064,8209
Rick Neighbors,D,AL,04,2020,False,False,46068,45034,1034,7932,25090,9505,3781,-239,18939,0,250
Mo Brooks,R,AL,05,2020,True,True,655365,210045,1137501,21804,395551,250020,0,-12010,377001,14000,1250
Gary Palmer,R,AL,06,2020,True,True,907219,909082,370688,1095,468075,397600,0,40449,433209,0,143850
Terri Sewell,D,AL,07,2020,True,True,2168165,1495957,2243480,27663,379899,1760803,0,-200,274948,16000,22500
Dan Sullivan,R,AK,S1,2020,True,True,10472845,9999482,731743,884040,6321539,2462069,0,805197,4443372,18375,52500
Al Gross,I,AK,S1,2020,False,False,19393431,19366600,26831,6771954,11360792,359102,732431,169152,9227839,41057,7850
Don Young,R,AK,01,2020,True,True,1922901,1790448,249173,170093,793323,839095,0,120391,659216,3300,21700
Alyse Galvin,I,AK,01,2020,False,False,5178452,5088103,96594,1269203,3526935,340487,4372,37456,2754754,5362,625
Mark Kelly,D,AZ,S1,2020,False,True,99846963,98444440,1402523,47330956,50902280,837391,0,776337,35962735,142420,11259
Martha McSally,R,AZ,S1,2020,True,False,71385147,72193637,115304,26890386,41330734,2727159,0,436868,36453890,126278,5308850
Tom O'Halleran,D,AZ,01,2020,True,True,3381353,3324138,63147,238333,1593792,1434694,0,114534,1153644,16680,0
Tiffany Shedd,R,AZ,01,2020,False,False,1675618,1615704,63347,123157,1039568,257700,72706,182487,1076760,38676,91785
Ann Kirkpatrick,D,AZ,02,2020,True,True,1849862,1384765,537288,415731,766926,690001,0,-22796,279762,2800,0
Brandon Martin,R,AZ,02,2020,False,False,374821,381067,-7418,62710,311330,6000,0,-5220,203207,8800,21488
Raul M Grijalva,D,AZ,03,2020,True,True,843560,655507,226209,193493,395667,264095,0,-9695,157452,40,0
Daniel Wood,R,AZ,03,2020,False,False,41422,41962,-539,16259,18883,6800,0,-519,13433,1000,4450
Paul Gosar,R,AZ,04,2020,True,True,622151,729892,13459,141905,249199,240092,0,-9045,247911,0,56735
Delina DiSanto,D,AZ,04,2020,False,False,77168,79758,5974,22212,51374,1072,0,2509,20780,0,28841
Andy Biggs,R,AZ,05,2020,True,True,1602181,1236380,651047,634093,678865,363780,0,-74556,660067,7490,5645
Joan Greene,D,AZ,05,2020,False,False,356069,209789,147117,139249,78346,1048,139236,-1810,75000,0,3595
David Schweikert,R,AZ,06,2020,True,True,2265329,2249979,59582,107948,1325194,680536,0,151651,1179864,16550,28211
Hiral Tipirneni,D,AZ,06,2020,False,False,6301073,6366702,34973,1190335,4092199,646539,26406,345595,2932537,29534,1000
Tom Lewellen,I,AZ,06,2020,False,False,11685,11000,-3293,415,3000,0,10200,-1930,0,0,3000
Ruben Gallego,D,AZ,07,2020,True,True,1811754,1653961,616971,334025,744470,745509,0,-12250,231071,126,3050
Josh Barnett,R,AZ,07,2020,False,False,28093,17883,10210,4183,17885,3375,2650,0,16850,500,0
Debbie Lesko,R,AZ,08,2020,True,True,1605245,987453,688633,367870,582207,397032,0,258137,612768,4340,433
Michael Muscato,D,AZ,08,2020,False,False,357906,347734,10172,162778,172212,4103,18869,-57,117942,40,3600
Greg Stanton,D,AZ,09,2020,True,True,2001619,1001350,1044655,170847,1179987,655961,0,-5175,575631,9925,23600
Dave Giles,R,AZ,09,2020,False,False,130480,129935,546,42615,13314,0,69552,5000,5400,1500,1925
Tom Cotton,R,AR,S1,2020,True,True,12801063,6658318,6396953,3882745,4276328,1755120,0,2886868,4764521,53313,239781
Ricky Dale Harrington Jr,L,AR,S1,2020,False,False,79564,64037,15527,23856,54858,100,0,750,61844,0,2500
Daniel Whitfield,I,AR,S1,2020,False,False,68536,48227,20309,54359,14766,0,0,-589,6221,0,8545
Rick Crawford,R,AR,01,2020,True,True,966801,1095518,182708,37303,367990,556336,0,5172,357515,4050,4425
French Hill,R,AR,02,2020,True,True,3384490,3020491,410779,102118,1598588,1531282,0,152502,1773313,3250,450
Joyce Elliott,D,AR,02,2020,False,False,3482463,3478733,3730,1376888,1769570,373403,100,-37498,1335421,13794,250
Steve Womack,R,AR,03,2020,True,True,1127158,923120,1363257,63990,484990,568221,0,9957,482190,0,300
Celeste Williams,D,AR,03,2020,False,False,355294,355294,0,154884,184727,4500,0,11183,78384,3353,0
Bruce Westerman,R,AR,04,2020,True,True,1407770,1102573,976806,58586,609363,748630,0,-8809,514838,7350,39975
William Hanson,D,AR,04,2020,False,False,109767,111683,-1916,7934,31733,0,0,70100,37000,0,1200
Doug LaMalfa,R,CA,01,2020,True,True,1219556,1155945,91242,54113,643015,406260,0,116169,725548,6750,2550
Audrey Denney,D,CA,01,2020,False,False,2461769,2457661,4601,851220,1482953,116688,0,10909,933255,2400,8612
Jared Huffman,D,CA,02,2020,True,True,899419,797753,922442,55808,479514,377125,0,-13028,327536,0,0
Dale Mensing,R,CA,02,2020,False,False,5921,2197,5391,0,400,5000,521,0,400,0,0
John Garamendi,D,CA,03,2020,True,True,1054066,667320,1111122,31566,411196,618324,0,-7020,384114,7830,1350
